--- Screen Size Extraction Results ---
[OK] ScreenEditorCommonBg | Size: 0x350 | Inline Wrapper: 7101a7b0e8
[OK] ScreenEditorCommonInfoOperation | Size: 0x370 | Inline Wrapper: 7101a7b6f0
[OK] ScreenEditorCommonTitle | Size: 0xA48 | Inline Wrapper: 7101a7c0d0
[OK] ScreenEditorCommonTutorial | Size: 0x5C8 | Inline Wrapper: 7101a7caf4
[OK] ScreenEditorSmallDialog | Size: 0x358 | Inline Wrapper: 7101a7d204
[OK] ScreenIslandEditor | Size: 0x1D40 | Constructor: 71008f5f58
[OK] ScreenMiiEditor | Size: 0x1E80 | Constructor: 7101b063d0
[OK] ScreenMiiEditorBg | Size: 0x348 | Inline Wrapper: 7101b06880
[OK] ScreenMiiEditorBodyType | Size: 0x920 | Inline Wrapper: 7101b07894
[OK] ScreenMiiEditorConfirm | Size: 0x558 | Inline Wrapper: 7101b0802c
[OK] ScreenMiiEditorEasy | Size: 0x1080 | Inline Wrapper: 7101b09bd8
[OK] ScreenMiiEditorEasyCompare | Size: 0xA78 | Inline Wrapper: 7101b0c820
[OK] ScreenMiiEditorEasyCompareDialog | Size: 0x398 | Inline Wrapper: 7101b0e304
[OK] ScreenMiiEditorEasyComplete | Size: 0x408 | Inline Wrapper: 7101b0e9d0
[OK] ScreenMiiEditorMenu | Size: 0x360 | Inline Wrapper: 7101b0fc50
[OK] ScreenMiiEditorPreview | Size: 0x3F0 | Inline Wrapper: 7101b1b7c8
[OK] ScreenMiiEditorSwitchMiiList | Size: 0x28F0 | Inline Wrapper: 7101b1c454
[OK] ScreenMiiEditorTop | Size: 0x350 | Inline Wrapper: 7101b1cbc4
[OK] ScreenTestEditor | Size: 0x10000 | Constructor: 7101b38b24
[OK] ScreenUgcAtelier | Size: 0x918 | Constructor: 7101b666a8
[OK] ScreenUgcEditor | Size: 0x1620 | Constructor: 7101b667c4
[OK] ScreenUgcEditorBg | Size: 0x350 | Inline Wrapper: 7101b6b230
[OK] ScreenUgcEditorComplete | Size: 0x418 | Constructor: 7101b6bee8
[OK] ScreenUgcEditorDetail | Size: 0xAC8 | Constructor: 7101b72c0c
[OK] ScreenUgcEditorDrawMenu | Size: 0xCC8 | Constructor: 7101b73fa0
[OK] ScreenUgcEditorFirstHalfMenu | Size: 0x2C78 | Constructor: 7101b77a90
[OK] ScreenUgcEditorLatterHalfMenu | Size: 0x1638 | Constructor: 7101b7fd3c
[OK] ScreenUgcEditorStampList | Size: 0x1818 | Constructor: 7101b81e38
[OK] ScreenUgcListAll | Size: 0xFFD8 | Constructor: 7101b8699c
[OK] ScreenLocalNetworkDialogOverwrite | Size: 0x2840 | Constructor: 7101e1015c
[OK] ScreenLocalNetworkDialogSend | Size: 0x378 | Constructor: 7101e1074c
[OK] ScreenLocalNetworkMenu | Size: 0xF40 | Constructor: 7101e11388
[OK] Screen3DControl | Size: 0x350 | Inline Wrapper: 7100a73238
[OK] Screen3DLayout | Size: 0x1EC0 | Constructor: 7100a736e4
[OK] Screen3DLayoutFront | Size: 0x1F28 | Constructor: 710084c370
[OK] Screen3DLayoutOnCursor | Size: 0x1EC0 | Inline Wrapper: 7100a736e4
[OK] ScreenAdviceRight | Size: 0x350 | Inline Wrapper: 710206f2f4
[OK] ScreenBoxCursor | Size: 0x350 | Inline Wrapper: 7100a73898
[OK] ScreenCantTouch | Size: 0x350 | Inline Wrapper: 7100a73928
[OK] ScreenCapturePhoto | Size: 0x348 | Inline Wrapper: 710206f9e8
[OK] ScreenChangeClothes | Size: 0x5578 | Inline Wrapper: 71008eb5b8
[OK] ScreenCinemaScope | Size: 0x358 | Inline Wrapper: 7100a73c88
[OK] ScreenClothesEditorBase | Size: 0x5578 | Constructor: 71008eb5b8
[OK] ScreenCommon | Size: 0x348 | Inline Wrapper: 71020749b4
[OK] UICommonScreen | Size: 0x348 | Inline Wrapper: 7100a73d98
[OK] ScreenCommonSystemBtnBase | Size: 0x350 | Inline Wrapper: 71020753d4
[OK] ScreenCommonBackBtn | Size: 0x350 | Inline Wrapper: 7100a73e64
[OK] ScreenCommonBackBtnHandler | Size: 0x350 | Inline Wrapper: 7100a73f54
[OK] ScreenCommonFooterBase | Size: 0x3B0 | Inline Wrapper: 7100a740e0
[OK] ScreenCommonIslandFooter | Size: 0x3B0 | Inline Wrapper: 7100a740e0
[OK] ScreenCommonMenuFooter | Size: 0x3B0 | Inline Wrapper: 7100a74180
[OK] ScreenCommonMenuBG | Size: 0x360 | Inline Wrapper: 7100a7431c
[OK] ScreenCommonMenuBtn | Size: 0x350 | Inline Wrapper: 7100a743b8
[OK] ScreenCommonSkip | Size: 0x368 | Inline Wrapper: 7100a744d4
[OK] ScreenConfessionAdvice | Size: 0x370 | Constructor: 7100a747c0
[OK] ScreenControlDisabler | Size: 0x348 | Inline Wrapper: 7100a74878
[OK] ScreenDemoCapture | Size: 0x1E28 | Constructor: 71020937f4
[OK] ScreenDemoFaderBase | Size: 0x388 | Constructor: 71008572fc
[OK] ScreenDemoFaderDrama | Size: 0x388 | Inline Wrapper: 710085729c
[OK] ScreenDemoFaderSimple | Size: 0x388 | Inline Wrapper: 7102079668
[OK] ScreenAccidentHandPick | Size: 0x3C8 | Constructor: 710207a3b8
[OK] ScreenAccidentHandSidePush | Size: 0x3C8 | Constructor: 710207a4b4
[OK] ScreenAccidentHandStrokeRight | Size: 0x430 | Constructor: 710207a5c4
[OK] ScreenAccidentHandStrokeLeft | Size: 0x430 | Inline Wrapper: 710207a580
[OK] ScreenBungeeHandPush | Size: 0x430 | Inline Wrapper: 710207a6ec
[OK] ScreenEventHandGood | Size: 0x358 | Inline Wrapper: 710207a760
[OK] ScreenEventHandClap | Size: 0x358 | Inline Wrapper: 710207a7dc
