VTable: 71031c6c18 | Entries: 145 | ScreenName: ScreenEditorCommonBg
VTable: 71031c7190 | Entries: 145 | ScreenName: ScreenEditorCommonInfoOperation
VTable: 71031c7708 | Entries: 145 | ScreenName: ScreenEditorCommonTitle
VTable: 71031c7ce0 | Entries: 145 | ScreenName: ScreenEditorCommonTutorial
VTable: 71031c8710 | Entries: 145 | ScreenName: ScreenEditorSmallDialog
VTable: 71031cf658 | Entries: 145 | ScreenName: ScreenIslandEditor
VTable: 71031d1380 | Entries: 145 | ScreenName: ScreenMiiEditor
VTable: 71031d1928 | Entries: 145 | ScreenName: ScreenMiiEditorBg
VTable: 71031d1e70 | Entries: 145 | ScreenName: ScreenMiiEditorBodyType
VTable: 71031d2420 | Entries: 145 | ScreenName: ScreenMiiEditorConfirm
VTable: 71031d2998 | Entries: 145 | ScreenName: ScreenMiiEditorEasy
VTable: 71031d2f10 | Entries: 145 | ScreenName: ScreenMiiEditorEasyCompare
VTable: 71031d34f8 | Entries: 145 | ScreenName: ScreenMiiEditorEasyCompareDialog
VTable: 71031d3aa8 | Entries: 145 | ScreenName: ScreenMiiEditorEasyComplete
VTable: 71031d4098 | Entries: 145 | ScreenName: ScreenMiiEditorMenu
VTable: 71031d4e90 | Entries: 145 | ScreenName: ScreenMiiEditorPreview
VTable: 71031d5408 | Entries: 145 | ScreenName: ScreenMiiEditorSwitchMiiList
VTable: 71031d5a28 | Entries: 109 | ScreenName: ScreenMiiEditorTop
VTable: 71031d6b20 | Entries: 145 | ScreenName: ScreenTestEditor
VTable: 71031d9418 | Entries: 145 | ScreenName: ScreenUgcAtelier
VTable: 71031d9990 | Entries: 145 | ScreenName: ScreenUgcEditor
VTable: 71031d9fb0 | Entries: 145 | ScreenName: ScreenUgcEditorBg
VTable: 71031da528 | Entries: 148 | ScreenName: ScreenUgcEditorComplete
VTable: 71031dae60 | Entries: 145 | ScreenName: ScreenUgcEditorDetail
VTable: 71031db3d8 | Entries: 145 | ScreenName: ScreenUgcEditorDrawMenu
VTable: 71031dba28 | Entries: 145 | ScreenName: ScreenUgcEditorFirstHalfMenu
VTable: 71031dc0e8 | Entries: 145 | ScreenName: ScreenUgcEditorLatterHalfMenu
VTable: 71031dc778 | Entries: 145 | ScreenName: ScreenUgcEditorStampList
VTable: 71031dcdd0 | Entries: 145 | ScreenName: ScreenUgcListAll
VTable: 710320bb20 | Entries: 145 | ScreenName: ScreenLocalNetworkDialogOverwrite
VTable: 710320c098 | Entries: 145 | ScreenName: ScreenLocalNetworkDialogSend
VTable: 710320c610 | Entries: 145 | ScreenName: ScreenLocalNetworkMenu
VTable: 710322fb50 | Entries: 145 | ScreenName: Screen3DControl
VTable: 7103230098 | Entries: 145 | ScreenName: Screen3DLayout
VTable: 71032305e0 | Entries: 145 | ScreenName: Screen3DLayoutFront
VTable: 7103230b28 | Entries: 145 | ScreenName: Screen3DLayoutOnCursor
VTable: 7103231258 | Entries: 145 | ScreenName: ScreenAdviceRight
VTable: 71032317f8 | Entries: 145 | ScreenName: ScreenBoxCursor
VTable: 7103231d70 | Entries: 145 | ScreenName: ScreenCantTouch
VTable: 71032322e8 | Entries: 145 | ScreenName: ScreenCapturePhoto
VTable: 71032328b0 | Entries: 220 | ScreenName: ScreenChangeClothes
VTable: 71032330e0 | Entries: 145 | ScreenName: ScreenCinemaScope
VTable: 7103233658 | Entries: 220 | ScreenName: ScreenClothesEditorBase
VTable: 7103233f90 | Entries: 145 | ScreenName: ScreenCommon
VTable: 7103234508 | Entries: 145 | ScreenName: UICommonScreen
VTable: 7103234a50 | Entries: 148 | ScreenName: ScreenCommonSystemBtnBase
VTable: 7103234fb0 | Entries: 148 | ScreenName: ScreenCommonBackBtn
VTable: 7103235570 | Entries: 145 | ScreenName: ScreenCommonBackBtnHandler
VTable: 7103235ae8 | Entries: 146 | ScreenName: ScreenCommonFooterBase
VTable: 7103236038 | Entries: 146 | ScreenName: ScreenCommonIslandFooter
VTable: 7103236588 | Entries: 146 | ScreenName: ScreenCommonMenuFooter
VTable: 7103236b80 | Entries: 145 | ScreenName: ScreenCommonMenuBG
VTable: 7103237128 | Entries: 148 | ScreenName: ScreenCommonMenuBtn
VTable: 7103237688 | Entries: 145 | ScreenName: ScreenCommonSkip
VTable: 7103237c00 | Entries: 145 | ScreenName: ScreenConfessionAdvice
VTable: 7103238210 | Entries: 145 | ScreenName: ScreenControlDisabler
VTable: 7103238758 | Entries: 145 | ScreenName: ScreenDemoCapture
VTable: 7103238d00 | Entries: 156 | ScreenName: ScreenDemoFaderBase
VTable: 7103239310 | Entries: 156 | ScreenName: ScreenDemoFaderDrama
VTable: 7103239998 | Entries: 156 | ScreenName: ScreenDemoFaderSimple
VTable: 7103239f78 | Entries: 146 | ScreenName: ScreenAccidentHandPick
VTable: 710323a4c8 | Entries: 146 | ScreenName: ScreenAccidentHandSidePush
VTable: 710323aa18 | Entries: 146 | ScreenName: ScreenAccidentHandStrokeRight
VTable: 710323af70 | Entries: 147 | ScreenName: ScreenAccidentHandStrokeLeft
VTable: 710323b4c8 | Entries: 147 | ScreenName: ScreenBungeeHandPush
VTable: 710323ba20 | Entries: 146 | ScreenName: ScreenEventHandGood
VTable: 710323bf70 | Entries: 146 | ScreenName: ScreenEventHandClap
VTable: 710323c4c0 | Entries: 146 | ScreenName: FOUND_NO_SCREEN_NAME
VTable: 710323cc58 | Entries: 145 | ScreenName: ScreenDemoNewsCaster
VTable: 710323d1f8 | Entries: 145 | ScreenName: ScreenDemoPicture
VTable: 710323d7a0 | Entries: 145 | ScreenName: ScreenDemoSelectBtn
